County Name,City,Location Name,Location URL,Location Address,Location Number,Location Email ,Notes/Status
,Richland,"Fred Meyer Stores, Richland",https://www.fredmeyer.com/rx/guest/get-vaccinated,"101 Wellsian Way|Richland, WA 99352|",509-943-8358,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Richland,Health First Urgent Care,,"37 Columbia Point Dr|Richland, WA 99352|",509-300-1500,,
,Richland/ Kennewick,Kadlec - Benton County,https://providencecovidvaccinewamt.squarespace.com/kadlec,,,,"Please visit our website for current planning, scheduling links, and current phase information."
Chelan County,,,,,,,
,Chelan,LK CHELAN COMMUNITY HOSPITAL,https://www.lakechelancommunityhospital.com/,"503 E Highland|Chelan, WA 98816|",509-682-6115,ems@lcch.net,
,Leavenworth,CASCADE MEDICAL FAMILY PRACTICE,,"817 Commercial|Leavenworth, WA 98826|",509-548-2517,covidvaccine@cascademedical.org,Send email or call.
,Wenatchee,ALBERTSON'S PHARMACY #3412,https://kordinator.mhealthcoach.net/vcl/SavonPharmacyWenatchee,"1128 N Miller St|Wenatchee, WA 98801",,,"Appointments are required. Please visit our link to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Wenatchee,CENTRAL WASHINGTON HOSPITAL,,"1201 S. Miller St|Wenatchee, WA 98801|",509-663-8711,,"Appointments are required. Please call 509-663-8711 to schedule an appointment. If there are no appointments upon the time of call, all appointments have been filled. Additional clinic dates will be added when we receive more vaccine."
,Wenatchee,Columbia Valley Community Health,,"600 Orondo|Wenatchee, WA 98801",,ResponseTeam@cvch.org,Email for scheduling assistance
,Wenatchee,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxb2gx2/?&e_id=5015,"375 HIGHLINE DRIVE SOUTH|Wenatchee, WA 98802",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses"
,Wenatchee,SAFEWAY #27-1449,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyWenatchee,"501 N Miller St|Wenatchee, WA 98801",,,"Appointments are required. Please visit our link to schedule. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine"
,Wenatchee,Town Toyota Center,https://prepmod.doh.wa.gov/,"1300 Walla Walla Ave|Wenatchee, WA 98801",,,"This is a DOH Mass Vaccination Site. Vaccine by appointment only. The fastest way to get an appointment is to go online to schedule one.  If you are unable to use the online tool you can call us at 1-800-525-0127. 
Only people living or working in Washington are eligible for vaccination at this site.  Please bring a picture ID; a letter or statement that shows your Washington address; or a voucher from your employer, health care provider, religious institution, school or other official agency that shows you live or work in Washington."
Clallam County,,,,,,,
,Forks,Forks Community Hospital,https://www.forkshospital.org/forks-community-hospital-status-report-for-forks-west-end/,"530 Bogachiel Way|Forks, WA 98331",,,"We are currently offering weekend clinics on Fridays and Saturdays in the community. Our website will be updated with information as needed. It will all be first come, first served at our community events as we do not have a way to do appointments at this time."
,Port Angeles,Clallam County Health and Human Services,https://www.cognitoforms.com/ClallamCounty1/COVIDVaccineRegistration,"111 E. 3rd St.|Port Angeles, WA 98363|",360-417-2430,CCEM_MCENTER@co.clallam.wa.us,"Please go here to schedule an upcoming appointment and check back if none are currently available, as slots are opening frequently. For questions, please email or call ."
,Sequim,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxcbbkx/?&e_id=5051,"955 WEST WASHINGTON ST.|Sequim, WA 98382",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Sequim,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"990 B E WASHINGTON|Sequim, WA 98382",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine"
Clark County,,,,,,,
,Battle Ground,Sea Mar - Battleground,https://www.seamar.org/covid-vaccine,"118 S Parkway Ave|Battle Ground, WA 98604",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Battleground,"Fred Meyer Stores, Battleground",https://www.fredmeyer.com/rx/guest/get-vaccinated,"401 NW 12th Ave|Battleground, WA 98604|",360-666-5133,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Ridgefield,Clark County Fairgrounds,https://kordinator.mhealthcoach.net/vcl/ClarkCounty,"17402 NE Delfel Rd|Ridgefield, WA 98642|1-, press # or 888-856-5816","1-800-525-0127, press # or 888-856-5816",,"This is a DOH Mass Vaccination Site. Vaccine by appointment only. The fastest way to get an appointment is to go online to schedule one.  If you are unable to use the online tool you can call us at 1-800-525-0127. 
Only people living or working in Washington are eligible for vaccination at this site.  Please bring a picture ID; a letter or statement that shows your Washington address; or a voucher from your employer, health care provider, religious institution, school or other official agency that shows you live or work in Washington."
,Vancouver,Clark County Public Health,https://clark.wa.gov/public-health/covid-19-vaccine,"Vancouver, WA 98661",,,"To assist Phase Finder eligible individuals and to avoid overburdening our hospitals and other vaccination sites, Clark County Public Health has taken up the role of collecting names and contact information and then connecting individuals with specific providers once vaccine becomes available. If you would like to use this option please go to our website."
,Vancouver,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx8eqd0/?&e_id=4983,"6720 NE 84TH STREET|Vancouver, WA 98665",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx715lc/?&e_id=4967,"19610 SE 1ST STREET|Vancouver, WA 98607",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, 87th Ave",https://www.fredmeyer.com/rx/guest/get-vaccinated,"700 NE 87th Ave|Vancouver, WA 98664|",360-356-7025,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, Fisher's Landing",https://www.fredmeyer.com/rx/guest/get-vaccinated,"16600 SE McGillivary Blvd|Vancouver, WA 98683|",360-260-3333,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, Grand Central",https://www.fredmeyer.com/rx/guest/get-vaccinated,"2500 Columbia House Blvd|Vancouver, WA 98661|",360-619-1733,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, Hazel Dell",https://www.fredmeyer.com/rx/guest/get-vaccinated,"7700 NE Highway 99|Vancouver, WA 98665|",360-699-8133,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, Mill Plain",https://www.fredmeyer.com/rx/guest/get-vaccinated,"11325 SE Mill Plain Blvd|Vancouver, WA 98684|",360-253-7086,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, Orchards",https://www.fredmeyer.com/rx/guest/get-vaccinated,"7411 NE 117th Ave.|Vancouver, WA 98662|",360-896-3533,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,"Fred Meyer Stores, Salmon Creek",https://www.fredmeyer.com/rx/guest/get-vaccinated,"800 NE Tenney Road|Vancouver, WA 98685|",360-571-2573,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Vancouver,Safeway Pharmacy 1519,https://kordinator.mhealthcoach.net/vcl/Safeway-Vancouver-137thMillPlain,"13719 SE Mill Plain Blvd|Vancouver, WA 98684",,,we have vaccines available
,Vancouver,Sea Mar - East Vancouver,https://www.seamar.org/covid-vaccine,"19005 SE 34th St|Vancouver, WA 98683",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Vancouver,Sea Mar - Fourth Plain,https://www.seamar.org/covid-vaccine,"6100 NE Fourth Plain Blvd|Vancouver, WA 98662",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Vancouver,Sea Mar - Salmon Creek,https://www.seamar.org/covid-vaccine%C2%A0,"14508 NE 20th Ave|Vancouver, WA 98686",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,VANCOUVER,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"3505 SE 192ND|VANCOUVER, WA 98683",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine"
,Washougal,Safeway Pharmacy 1687,https://kordinator.mhealthcoach.net/vcl/Safeway-Washougal,"3307 SE Evergreen Blvd, Bldg 5|Washougal, WA 98671",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
Columbia County,,,,,,,
,Dayton,Columbia County Public Health,,"1012 South Third Street|Dayton, WA 99328|",509-382-2181,Public_Health@co.columbia.wa.us,
Cowlitz County,,,,,,,
,Longview,"Fred Meyer Stores, Longview",https://www.fredmeyer.com/rx/guest/get-vaccinated,"3184 Ocean Beach Hwy.|Longview, WA 98632|",360-425-6222,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Longview,SAFEWAY #19-1078,https://kordinator.mhealthcoach.net/vcl/Safeway-Longview-OceanBeachHwy,"2930 Ocean Beach Hwy|Longview, WA 98632",,,"Appointments are required. Please visit this link to schedule.  If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
Douglas County,,,,,,,
,Bridgeport,Family Health Centers,https://myfamilyhealth.org/covid-vaccine/,"1015 Columbia Avenue|Bridgeport, WA 98813",,info@fhc.us,"Appointments are required. Please visit this link to schedule.  If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,East Wentachee,"Fred Meyer Stores, East Wenatchee",https://www.fredmeyer.com/rx/guest/get-vaccinated,"11 Grant Road|East Wentachee, WA 98802|",509-881-2388,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
Ferry County,,,,,,,
,Republic,Ferry County Health,,"36 North Klondike Road|Republic, WA 99166|",509-775-8686,,Please call to schedule a vaccine appointment.
Franklin County,,,,,,,
,Pasco,Kadlec - Franklin County,https://providencecovidvaccinewamt.squarespace.com/kadlec,"Pasco, WA 99301",,,"Please visit our link for current planning, scheduling links, and current phase information."
Garfield County,,,,,,,
,Pomeroy,Garfield County Hospital District,https://www.co.garfield.wa.us/publichealth/page/covid-19-information,"66 North Sixth Street|Pomeroy , WA 99347|",509-843-3412,health@co.garfield.wa.us,Please contact our local health department to get on the list for scheduling of the COVID-19 vaccine. A person will call you to make an appointment. Our vaccine clinics are being held every Friday.
Grant County,,,,,,,
,Mattawa,Columbia Basin Health Assoc - WAHLUKE FAMILY HEALTH CENTER,,"601 Government Way|Mattawa, WA 99349|",(509) 488-5256,,
,Mattawa,Mattawa Community Medical Clinic,https://mattawacommunitymedicalclinic.net/,"210 Government Road|Mattawa, WA 99349|",509-932-4499,d.fox@mattawaclinic.net,"Appointments are required. Please visit this link to schedule.  If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Quincy,Quincy Valley Medical Center,https://www.quincyhospital.org/,"908 10th Ave SW|Quincy, WA 98848|",509-787-3531,,
Grays Harbor County,,,,,,,
,Aberdeen,GRAYS HARBOR COUNTY HEALTH DEPARTMENT,,"2109 Sumner Ave|Aberdeen, WA 98520|",(360) 964-1850|Covid19@co.grays-harbor.wa.us,Covid19@co.grays-harbor.wa.us,"Visit website and use ""contact us"" form."
,Aberdeen,SAFEWAY #27-1546,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyAberdeen,"221 W Heron St|Aberdeen, WA 98520",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Aberdeen,Sea Mar - Aberdeen,https://www.seamar.org/covid-vaccine,"1813 Sumner Ave|Aberdeen, WA 98520",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Elma,Sea Mar - Elma,https://www.seamar.org/covid-vaccine,"515 W Main St|Elma, WA 98541",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Elma,SUMMIT PACIFIC HEALTHCARE,https://summitpacificmedicalcenter.org/,"600 E. Main Street|Elma, WA 98541",,,Please fill out our Vaccine Intake form (located on the top right of our website).  We will use the information on the intake forms to contact and schedule phase eligible individuals as allocations and available appointments allow. Thank you!
,Ocean Shores,Sea Mar - Ocean Shores,https://www.seamar.org/covid-vaccine,"597 Point Brown Ave NW|Ocean Shores, WA 98569",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
Island County,,,,,,,
,Camano Island,Camano Island Health System,,"1283 Elger Bay Road, Ste A,|Camano Island, WA 98282",,,Vaccine supply is extremely limited and appointments may not be available. Check the Island County COVID-19 Vaccine website for updates.
,Coupeville,WHIDBEY HEALTH MEDICAL CENTER,https://book.appointment-plus.com/cn2vqgd8/#/,"101 North Main Street|Coupeville, WA 98239",,,"Vaccine supply is extremely limited and appointments may not be available. Please visit:
https://book.appointment-plus.com/cn2vqgd8/#/ to schedule."
,Oak Harbor,ISLAND DRUG,,"32170 State Route 20|Oak Harbor, WA 98277",,covidvaccine@islanddrug.com,"Please go to our website to schedule a vaccine appointment. We have 3 locations, please indicate if you would like to receive your vaccine in Oak Harbor, Clinton, or La Connor."
Jefferson County,,,,,,,
,Port Hadlock,QFC,https://www.qfc.com/i/coronavirus-update/vaccine,"1890 IRONDALE RD|Port Hadlock, WA 98339",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Port Townsend,Jefferson Healthcare,https://jeffersonhealthcare.org/covid-19-vaccine/,"834 Sheridan|Port Townsend, WA 98368",,,low availability
,Port Townsend,SAFEWAY #27-0538,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyPortTownsend,"442 W Sims Way|Port Townsend, WA 98368",,,"Appointments are required. Please visit our link to schedule.  If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
King County,,,,,,,
,Auburn,Auburn General Services Administration Complex,https://www.kingcounty.gov/depts/health/covid-19/vaccine/distribution.aspx,"2701 C St. SW Auburn|Auburn, WA  98001",,,"Drive-through only. Appointments are required in advance. At this time, residents of south King County who 1) are age 75 or older, OR 2) are age 50 or older and cannot live independently, or live with and care for kin, OR 3) are providing care (paid or unpaid) for someone age 50 or older who cannot live independently, can register for an appointment at this link: www.kingcounty.gov/vaccine."
,Auburn,"Fred Meyer Stores, Auburn",https://www.fredmeyer.com/rx/guest/get-vaccinated,"801 Auburn Way North|Auburn, WA 98002|",253-931-5584,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Auburn,Multicare – Auburn Business Center,https://www.multicare.org/covid19/vaccine/,"1002 15th St. SW, Suite 110|Auburn, WA 98001",,,Appointments are required and are in high demand. Visit our COVID-19 vaccine page for the latest updates and scheduling information.
,Bellevue,"Fred Meyer Stores, Bellevue",https://www.fredmeyer.com/rx/guest/get-vaccinated,"2041 148th Ave NE|Bellevue, WA 98007|",425-865-8593,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Bellevue,Northwest Clinical Research Center,https://calendly.com/nwcrc_covidvaccine/covid-19-vaccination,"1951 152nd Pl NE|Suite 200|Bellevue, WA 98007",,covidvaccine@nwcrc.net,"Please schedule an a vaccine appointment on the scheduler (provided website link). If there are any questions, please email us at covidvaccine@nwcrc.net."
,Bellevue,One Medical - Bellevue Lincoln Square,https://onemedical.com/SEAVAX/,"10400 NE 4th St|Bellevue, WA 98004|",(415) 529-4129,,"In order to receive the COVID-19 vaccination, you’ll need to sign up for a complimentary One Medical trial membership. This allows you to use One Medical’s app or website to book your  appointment, get appointment reminders, and access virtual care if you need it. Sign up and download the app. This trial membership should cover the time required to receive both doses of the vaccine, and is available only to those referred by the WA DPH who are currently eligible for vaccination. A trial membership does not guarantee an appointment or other access to COVID-19 vaccines.
Please be prepared to show proof of eligibility at your vaccine appointment. Limited appointments are available for eligible individuals. If you’re unable to find an appointment, please check back – more appointments are published regularly."
,Bellevue,Overlake Hospital Medical Center,https://www.signupgenius.com/tabs/doh-overlake,"1035 116th Ave NE|Bellevue, WA 98004",,,"Please visit our website to schedule an appointment if you have been identified as eligible through Phase Finder. Only those with an appointment will receive the vaccine. Please do not call or visit our campus or clinics without an appointment.
If there are no dates listed on our website, it means all appointments have been filled. Please check back at a later date.  We will add more appointment times as we receive more vaccine.We appreciate your patience"
,Bellevue,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"3550 FACTORIA BLVD SE|Bellevue, WA 98006",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Bellevue,QFC,https://www.qfc.com/i/coronavirus-update/vaccine,"1510 145TH PL SE|Bellevue, WA 98007",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Bellevue,Safeway Pharmacy 1600,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyBellevue,"300 Bellevue Way NE|Bellevue, WA 98004",,,"Appointments are required. Please schedule on our website.  If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates. The website will be updated as we receive additional vaccine doses."
,Bellevue,Sea Mar - Bellevue,https://www.seamar.org/covid-vaccine,"3801 150th Ave SE|Bellevue, WA 98006",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Bellingham,Mt. Shuksan Family Medicine,https://www.mtshuksanfamilymedicine.com/,"2101 Cornwall Ave, ste 101|Bellingham, WA 98225|",360-647-1900,CLINIC@MTSHUKSANFAMILYMEDICINE.COM,Contact via email at CLINIC@MTSHUKSANFAMILYMEDICINE.COM
,Bothell,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"18921 BOTHELL WAY NE|Bothell, WA 98011",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Burien,"Fred Meyer Stores, Burien",https://www.fredmeyer.com/rx/guest/get-vaccinated,"14300 First Avenue South|Burien, WA 98168|",206-433-6446,,"Appointments are required.  Please schedule on our link. If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Burien,Sea Mar - Burien,https://www.seamar.org/covid-vaccine%C2%A0,"14434 Ambaum Blvd SW #5|Burien, WA 98166",,,we have vaccines available
,Burien,St. Anne Hospital (formerly Highline Medical Center),https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html,"16251 Sylvester Rd SW|Burien, WA 98166",,,"Vaccine is provided by appointment only. Please visit COVID 19 Vaccine to schedule an appointment
If you have questions please call: 253-792-2385 8-4:30 seven days a week."
,Covington,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxyd41v/?&e_id=4989,"27520 COVINGTON WAY SE|Covington, WA 98042",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Des Moines,Sea Mar Community Health Center - Des Moines,https://www.seamar.org/covid-vaccine,"2781 S 242nd St|Des Moines, WA 98198",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Enumclaw,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"1009 MONROE ST|Enumclaw, WA 98022",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Enumclaw,ST ELIZABETH HOSPITAL,https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html,"1455 Battersby Ave|Enumclaw, WA 98022",,,"Vaccine is provided by appointment only. Please visit: COVID 19 Vaccine to schedule an appointment.
If you have questions please call: 253-792-2385 8-4:30 seven days a week."
,Federal Way,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx6gxv6/?&e_id=5031,"35100 ENCHANTED PARKWAY S.|Federal Way, WA 98003",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Federal Way,"Fred Meyer Stores, Federal Way",https://www.fredmeyer.com/rx/guest/get-vaccinated,"33702 21st Ave. SW|Federal Way, WA 98023|",253-952-0133,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Federal Way,SEA MAR - FEDERAL WAY,https://www.seamar.org/covid-vaccine,"31405 18th Ave S|Federal Way, WA 98003",,,"Sea Mar is providing vaccines on a first come, first served walk in basis. Before you go to the clinic, please visit Sea Mar’s website https://www.seamar.org/covid-vaccine to see eligibility requirements and which clinics have vaccines available."
,Federal Way,ST FRANCIS HOSPITAL,https://www.chifranciscan.org/patients-and-visitors/covid-19/vaccine-information.html,"34515 9th Ave S|Federal Way, WA 98003",,,"Vaccine is provided by appointment only. Please visit: COVID 19 Vaccine to schedule an appointment.
If you have questions please call: 253-792-2385 8-4:30 seven days a week."
,Issaquah,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxq8qyy/?&e_id=5061,"1801 10TH AVE NORTHWEST|Issaquah, WA 98027",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Issaquah,"Fred Meyer Stores, Issaquah",,"6100 E. LK Sammamish Pk. SE|Issaquah, WA 98029|",425-416-1133,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Issaquah,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"1540 GILMAN BLVD|Issaquah, WA 98027",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
,Issaquah,QFC,https://www.qfc.com/rx/guest/get-vaccinated,"4570 KLAHANIE DR SE|Issaquah, WA 98029",,,"Appointments are required. If there are no spots left on the scheduling link, all appointment times have been filled. We will add more appointments when we receive more vaccine."
